OBJECTID,Geographic Identifier - FIPS Code,Area of Land (Square Meters),Area of Water (Square Meters),Name,State,County,Total Population,Total Population - Margin of Error,"White alone, Not Hispanic or Latino Population","White alone, Not Hispanic or Latino Population - Margin of Error","Black or African American alone, Not Hispanic or Latino Population","Black or African American alone, Not Hispanic or Latino Population - Margin of Error","American Indian and Alaska Native alone, Not Hispanic or Latino Population","American Indian and Alaska Native alone, Not Hispanic or Latino Population - Margin of Error","Asian alone, Not Hispanic or Latino Population","Asian alone, Not Hispanic or Latino Population - Margin of Error","Native Hawaiian and Other Pacific Islander alone, Not Hispanic or Latino Population","Native Hawaiian and Other Pacific Islander alone, Not Hispanic or Latino Population - Margin of Error","Some Other Race alone, Not Hispanic or Latino Population","Some Other Race alone, Not Hispanic or Latino Population - Margin of Error","Two or More Races, Not Hispanic or Latino Population","Two or More Races, Not Hispanic or Latino Population - Margin of Error",Hispanic or Latino Population,Hispanic or Latino Population - Margin of Error,"Percent of Population that is White alone, Non-Hispanic","Percent of Population that is White alone, Non-Hispanic - Margin of Error","Percent of Population that is Black or African American alone, Non-Hispanic","Percent of Population that is Black or African American alone, Non-Hispanic - Margin of Error","Percent of Population that is American Indian and Alaska Native alone, Non-Hispanic","Percent of Population that is American Indian and Alaska Native alone, Non-Hispanic - Margin of Error","Percent of Population that is Asian alone, Non-Hispanic","Percent of Population that is Asian alone, Non-Hispanic - Margin of Error","Percent of Population that is Native Hawaiian and Other Pacific Islander alone, Non-Hispanic","Percent of Population that is Native Hawaiian and Other Pacific Islander alone, Non-Hispanic - Margin of Error","Percent of Population that is Some Other Race alone, Non-Hispanic","Percent of Population that is Some Other Race alone, Non-Hispanic - Margin of Error","Percent of Population that is 2 or More Races, Non-Hispanic","Percent of Population that is 2 or More Races, Non-Hispanic - Margin of Error",Percent of Population that is Hispanic or Latino,Percent of Population that is Hispanic or Latino - Margin of Error,Shape_Length,Shape_Area
180,01051030500,165331585,1569175,Census Tract 305,Alabama,Elmore County,4573,577,3824,608,591,269,0,12,0,12,0,12,0,12,158,113,0,12,83.6,8.089872917,12.9,5.651818737,0,0.262409797,0,0.262409797,0,0.262409797,0,0.262409797,3.5,2.432266526,0,0.262409797,67390.92807,236000494.5
181,01051030600,130889056,3742881,Census Tract 306,Alabama,Elmore County,6539,705,4513,652,1661,563,14,20,90,97,0,17,0,17,36,42,225,257,69,6.637101363,25.4,8.16270982,0.2,0.304984876,1.4,1.475966475,0,0.25997859,0,0.25997859,0.6,0.639551518,3.4,3.912717007,87449.92566,186664119.7
182,01051030701,92645189,1884261,Census Tract 307.01,Alabama,Elmore County,7674,789,6474,742,789,216,46,62,77,98,0,17,0,17,36,54,252,211,84.4,4.272719648,10.3,2.60865848,0.6,0.805568806,1,1.272865624,0,0.221527235,0,0.221527235,0.5,0.702019811,3.3,2.728736234,72845.93003,131098493.7
183,01051030702,105744231,2998563,Census Tract 307.02,Alabama,Elmore County,3713,518,3227,449,348,233,0,12,118,125,0,12,0,12,0,12,20,34,86.9,17.12442029,9.4,6.137512385,0,0.323188796,3.2,3.337227246,0,0.323188796,0,0.323188796,0,0.323188796,0.5,0.912612938,96114.6062,149927998.5
184,01051030901,27113866,60318,Census Tract 309.01,Alabama,Elmore County,6205,669,4101,477,1862,493,0,17,0,17,0,17,0,17,8,9,234,154,66.1,2.884200893,30,7.256635208,0,0.273972603,0,0.273972603,0,0.273972603,0,0.273972603,0.1,0.14437669,3.8,2.448338066,27799.05944,38357008.71
185,01051030902,28557815,593552,Census Tract 309.02,Alabama,Elmore County,3926,589,2443,411,1134,568,0,12,49,71,0,12,7,10,39,36,254,206,62.2,4.737221102,28.9,13.8034298,0,0.30565461,1.2,1.79873676,0,0.30565461,0.2,0.253303703,1,0.904771879,6.5,5.156515532,50156.05813,40953628.44
186,01051031100,10553153,171497,Census Tract 311,Alabama,Elmore County,4176,498,3064,449,575,184,0,12,165,151,0,12,0,12,165,116,207,178,73.4,6.248603428,13.8,4.088738438,0,0.287356322,4,3.585068954,0,0.287356322,0,0.287356322,4,2.737523189,5,4.221264052,18110.74598,15123916.71
187,01051031200,49520822,5869601,Census Tract 312,Alabama,Elmore County,1563,285,682,121,697,249,31,34,4,6,0,12,0,12,99,88,50,76,43.6,11.10107747,44.6,13.69947789,2,2.145030599,0.3,0.381030307,0,0.767754319,0,0.767754319,6.3,5.51046554,3.2,4.827330029,96590.94832,71405936.66
188,01051031300,31946902,4242337,Census Tract 313,Alabama,Elmore County,5166,884,2799,608,1614,613,40,63,165,126,0,17,0,17,183,134,365,231,54.2,7.249567138,31.2,10.59344075,0.8,1.212293178,3.2,2.376999475,0,0.329074719,0,0.329074719,3.5,2.522060107,7.1,4.304992876,55106.95895,47224831.05
189,01053969900,309501684,3395747,Census Tract 9699,Alabama,Escambia County,3623,555,2991,383,465,319,15,17,0,12,0,12,11,17,31,36,110,95,82.6,16.48299577,12.8,8.582535019,0.4,0.464918321,0,0.331217223,0,0.331217223,0.3,0.466913622,0.9,0.984968595,3,2.580557766,109903.863,427157024.1
190,01053970100,105302067,1117784,Census Tract 9701,Alabama,Escambia County,4734,585,3432,611,970,214,0,12,82,128,0,12,0,12,116,75,134,154,72.5,9.290977264,20.5,3.744808173,0,0.253485425,1.7,2.695358652,0,0.253485425,0,0.253485425,2.5,1.555077819,2.8,3.234202734,66116.91237,145408687.8
191,01053970200,8739725,223885,Census Tract 9702,Alabama,Escambia County,1438,234,498,160,899,246,0,12,0,12,0,12,0,12,4,10,37,81,34.6,9.59386868,62.5,13.75349215,0,0.83449235,0,0.83449235,0,0.83449235,0,0.83449235,0.3,0.693935585,2.6,5.617240597,21369.44732,12051942.42
192,01053970300,331739974,1755190,Census Tract 9703,Alabama,Escambia County,3779,540,2903,483,708,349,103,87,0,12,0,12,0,12,13,18,52,92,76.8,6.546880152,18.7,8.838701564,2.7,2.269012763,0,0.317544324,0,0.317544324,0,0.317544324,0.3,0.47377316,1.4,2.426553031,114483.7099,456308527.3
193,01053970400,454773822,1727017,Census Tract 9704,Alabama,Escambia County,6192,1059,2505,448,2327,667,1074,158,21,24,0,17,1,3,106,71,158,123,40.5,2.115433532,37.6,8.644342794,17.3,3.91292059,0.3,0.383232258,0,0.274547804,0,0.048370817,1.7,1.108632329,2.6,1.937903477,127333.7714,625644452.9
194,01053970500,169044253,382383,Census Tract 9705,Alabama,Escambia County,3793,673,2477,591,1191,428,48,66,0,12,43,59,0,12,0,12,34,60,65.3,10.41713464,31.4,9.812611988,1.3,1.725499249,0,0.316372265,1.1,1.542436354,0,0.316372265,0,0.316372265,0.9,1.573845282,85547.0253,231646726.6
195,01053970600,85515945,1484657,Census Tract 9706,Alabama,Escambia County,3862,640,1151,366,2696,560,0,12,0,12,0,12,0,12,15,25,0,12,29.8,8.088255854,69.8,8.742332746,0,0.310719834,0,0.310719834,0,0.310719834,0,0.310719834,0.4,0.644125145,0,0.310719834,58951.66642,118931000.8
196,01053970700,39675909,554870,Census Tract 9707,Alabama,Escambia County,3644,751,2296,400,1119,477,151,81,0,12,0,12,0,12,78,60,0,12,63,17.00334723,30.7,11.45845405,4.1,2.05223261,0,0.329308452,0,0.329308452,0,0.329308452,2.1,1.586346651,0,0.329308452,37507.57853,54942652.02
197,01055000200,13516301,508049,Census Tract 2,Alabama,Etowah County,3405,475,1573,288,1532,328,0,12,10,21,0,12,0,12,54,48,236,167,46.2,5.478041004,45,7.30739769,0,0.352422907,0.3,0.615377808,0,0.352422907,0,0.352422907,1.6,1.392223302,6.9,4.808303215,32713.51638,19730730.85
198,01055000300,4089851,0,Census Tract 3,Alabama,Etowah County,2660,550,922,487,1658,325,0,12,0,12,0,12,0,12,19,30,61,45,34.7,16.84721217,62.3,17.75894023,0,0.45112782,0,0.45112782,0,0.45112782,0,0.45112782,0.7,1.118107511,2.3,1.62391992,15285.31029,5969783.852
199,01055000400,22146986,717,Census Tract 4,Alabama,Etowah County,3547,598,3135,597,238,182,12,18,70,57,0,12,0,12,74,60,18,20,88.4,7.825982723,6.7,5.004842002,0.3,0.50425554,2,1.572170848,0,0.338314068,0,0.338314068,2.1,1.654598317,0.5,0.5573281,33461.93107,32342357.82
200,01055000500,3051233,0,Census Tract 5,Alabama,Etowah County,2012,423,1665,386,211,169,0,12,30,42,0,12,0,12,34,36,72,92,82.8,8.085206558,10.5,8.105074297,0,0.596421471,1.5,2.063803449,0,0.596421471,0,0.596421471,1.7,1.753638384,3.6,4.510246608,13963.35924,4453805.367
201,01055000600,2385464,0,Census Tract 6,Alabama,Etowah County,2421,495,1438,371,673,405,0,12,0,12,0,12,0,12,78,67,232,182,59.4,9.345968497,27.8,15.73348347,0,0.495662949,0,0.495662949,0,0.495662949,0,0.495662949,3.2,2.687909383,9.6,7.257735562,10259.23778,3480815.597
202,01055000700,1345833,0,Census Tract 7,Alabama,Etowah County,1166,238,509,216,515,183,0,12,35,38,0,12,0,12,0,12,107,84,43.7,16.24116592,44.2,12.84697812,0,1.02915952,3,3.200892565,0,1.02915952,0,1.02915952,0,1.02915952,9.2,6.956346008,6299.23624,1964172.944
203,01055000800,1898942,0,Census Tract 8,Alabama,Etowah County,1195,271,348,173,642,196,0,12,0,12,0,12,0,12,9,18,196,108,29.1,12.8829039,53.7,10.98087697,0,1.0041841,0,1.0041841,0,1.0041841,0,1.0041841,0.8,1.496561658,16.4,8.236761756,7499.358921,2771191.964
204,01055000900,11930891,755997,Census Tract 9,Alabama,Etowah County,2438,442,1615,349,757,285,9,14,0,12,0,12,0,12,0,12,57,89,66.2,7.790368958,31.1,10.2452674,0.4,0.570327794,0,0.492206727,0,0.492206727,0,0.492206727,0,0.492206727,2.3,3.625841901,23028.74039,18505761.35
205,01055001000,1624487,0,Census Tract 10,Alabama,Etowah County,1276,331,349,135,684,256,0,12,0,12,0,12,0,12,21,35,222,192,27.4,7.848319843,53.6,14.46209795,0,0.940438871,0,0.940438871,0,0.940438871,0,0.940438871,1.6,2.709519594,17.4,14.35424538,8409.461142,2370081.299
206,01055001100,21401766,4998425,Census Tract 11,Alabama,Etowah County,5415,557,4742,542,534,306,0,17,84,84,0,17,0,17,0,17,55,47,87.6,4.36393058,9.9,5.559181169,0,0.313942752,1.6,1.543018094,0,0.313942752,0,0.313942752,0,0.313942752,1,0.861648429,62756.94496,32439096.47
207,01055001200,4371996,1854691,Census Tract 12,Alabama,Etowah County,2663,515,1967,382,446,330,0,12,6,17,0,12,0,12,99,90,145,209,73.9,1.311566876,16.7,11.961273,0,0.450619602,0.2,0.636888987,0,0.450619602,0,0.450619602,3.7,3.302290342,5.4,7.777328963,16899.81209,8583962.31
208,01055001300,5070076,850096,Census Tract 13,Alabama,Etowah County,2967,594,1401,458,1077,415,66,81,138,184,0,12,0,12,0,12,285,256,47.2,12.20316225,36.3,11.95112424,2.2,2.69346146,4.7,6.131243251,0,0.404448938,0,0.404448938,0,0.404448938,9.6,8.411205475,26352.38737,7524492.323
209,01055001600,10470683,1534225,Census Tract 16,Alabama,Etowah County,3128,552,717,200,2337,530,0,12,21,32,0,12,0,12,42,48,11,15,22.9,4.951663995,74.7,10.64230108,0,0.383631714,0.7,1.016134549,0,0.383631714,0,0.383631714,1.3,1.516122633,0.4,0.475507165,40759.5512,15231467.82
210,01055001700,9099299,0,Census Tract 17,Alabama,Etowah County,1524,346,745,244,716,220,0,12,0,12,0,12,29,31,22,36,12,18,48.9,11.53951536,47,9.727102579,0,0.787401575,0,0.787401575,0,0.787401575,1.9,1.987713666,1.4,2.339358449,0.8,1.167495242,16803.31836,13267226.12
211,01055010300,108629144,27240,Census Tract 103,Alabama,Etowah County,2515,384,2271,382,109,61,0,12,0,12,0,12,0,12,94,76,41,46,90.3,6.373227284,4.3,2.333432287,0,0.477137177,0,0.477137177,0,0.477137177,0,0.477137177,3.7,2.967495515,1.6,1.812010011,88647.26321,158515147.5
212,01055010401,7139140,549984,Census Tract 104.01,Alabama,Etowah County,4316,691,3185,801,598,248,0,12,261,146,0,12,0,12,110,156,162,191,73.8,14.31232254,13.9,5.300608728,0,0.278035218,6,3.241250812,0,0.278035218,0,0.278035218,2.5,3.591351395,3.8,4.384402316,23520.77589,11206873.96
213,01055010402,82459087,5902296,Census Tract 104.02,Alabama,Etowah County,4592,648,4191,666,109,125,0,12,0,12,0,12,0,12,95,109,197,181,91.3,6.669126562,2.4,2.701437804,0,0.261324042,0,0.261324042,0,0.261324042,0,0.261324042,2.1,2.35567205,4.3,3.89486924,104158.5004,120403703.7
214,01055010601,39717843,1659204,Census Tract 106.01,Alabama,Etowah County,5470,555,5296,517,73,106,0,17,0,17,0,17,0,17,12,21,89,73,96.8,13.63205962,1.3,1.933106198,0,0.310786106,0,0.310786106,0,0.310786106,0,0.310786106,0.2,0.383266442,1.6,1.324302143,65350.50639,57928239.82
215,01055011200,2379673,0,Census Tract 112,Alabama,Etowah County,2697,520,520,219,1274,368,0,12,0,12,0,12,0,12,45,36,858,388,19.3,7.219221218,47.2,10.16018124,0,0.444938821,0,0.444938821,0,0.444938821,0,0.444938821,1.7,1.295470075,31.8,13.01321885,12721.98893,3471209.433
216,01057020000,311398980,71975,Census Tract 200,Alabama,Fayette County,1421,210,1399,211,18,18,0,12,0,12,0,12,0,12,4,7,0,12,98.5,2.965656794,1.3,1.252804779,0,0.844475721,0,0.844475721,0,0.844475721,0,0.844475721,0.3,0.490851194,0,0.844475721,117293.7927,452307156.2
217,01057020100,368498417,358362,Census Tract 201,Alabama,Fayette County,2991,395,2826,379,85,75,0,12,41,37,0,12,0,12,39,36,0,12,94.5,2.20651168,2.8,2.479277381,0,0.401203611,1.4,1.223726897,0,0.401203611,0,0.401203611,1.3,1.191229104,0,0.401203611,122381.0904,536064335.6
218,01057020200,154826386,270991,Census Tract 202,Alabama,Fayette County,4576,420,3404,355,981,242,0,12,26,35,4,14,0,12,142,106,19,27,74.4,3.683564995,21.4,4.908788767,0,0.262237762,0.6,0.763080243,0.1,0.305838841,0,0.262237762,3.1,2.298857076,0.4,0.588802974,71479.95747,224672118.7
219,01057020300,363272122,3077791,Census Tract 203,Alabama,Fayette County,3859,480,2853,369,848,240,0,12,38,42,0,12,1,2,93,79,26,37,73.9,2.620834477,22,5.586399317,0,0.310961389,1,1.081450888,0,0.310961389,0,0.051726571,2.4,2.025096975,0.7,0.955128132,127911.0916,529677302.2
220,01057020400,427697349,551762,Census Tract 204,Alabama,Fayette County,3559,451,3339,429,71,50,0,12,3,6,0,12,0,12,102,74,44,67,93.8,1.98865913,2,1.381956858,0,0.337173363,0.1,0.168247941,0,0.337173363,0,0.337173363,2.9,2.04727191,1.2,1.876021122,155783.7547,619577974.1
221,01061050100,431937439,5107133,Census Tract 501,Alabama,Geneva County,4306,413,3551,385,247,96,180,74,5,7,10,12,0,12,156,138,157,88,82.5,4.168988554,5.7,2.160496541,4.2,1.671108593,0.1,0.16218192,0.2,0.277789327,0,0.27868091,3.6,3.185937503,3.6,2.013517507,253243.677,594843729.2
222,01061050200,218625840,1080994,Census Tract 502,Alabama,Geneva County,2260,351,1894,295,242,147,0,12,32,50,0,12,0,12,14,24,78,78,83.8,0.986311681,10.7,6.288227303,0,0.530973451,1.4,2.201433039,0,0.530973451,0,0.530973451,0.6,1.057579757,3.5,3.409448419,110267.0855,299982832.4
223,01061050300,145544234,1564131,Census Tract 503,Alabama,Geneva County,5806,728,4864,802,679,353,0,17,0,17,0,17,0,17,26,38,237,137,83.8,8.970224665,11.7,5.900433783,0,0.292800551,0,0.292800551,0,0.292800551,0,0.292800551,0.4,0.652082301,4.1,2.303448351,111909.6792,199631225.6
224,01061050400,340436384,2888767,Census Tract 504,Alabama,Geneva County,5573,526,4534,591,796,316,46,56,0,17,0,17,0,17,66,67,131,92,81.4,7.3141544,14.3,5.507608914,0.8,1.00182027,0,0.305042168,0,0.305042168,0,0.305042168,1.2,1.197017516,2.4,1.635840169,112266.5819,467769456.5
225,01061050500,188005840,502569,Census Tract 505,Alabama,Geneva County,4562,494,3662,449,479,195,70,48,0,12,0,12,95,147,28,25,228,165,80.3,4.616525997,10.5,4.12045242,1.5,1.038967905,0,0.263042525,0,0.263042525,2.1,3.214371051,0.6,0.543960061,5,3.576115882,100403.573,257926507.3
226,01061050600,163358695,423815,Census Tract 506,Alabama,Geneva County,3876,491,3450,449,138,103,0,12,5,8,0,12,0,12,39,35,244,143,89,2.65636172,3.6,2.618825179,0,0.309597523,0.1,0.20575044,0,0.309597523,0,0.309597523,1,0.893951651,6.3,3.602155901,74835.21912,224047306.5
227,01063060000,602520296,5477047,Census Tract 600,Alabama,Greene County,2204,467,183,124,1825,432,0,12,0,12,0,12,0,12,31,47,165,235,8.3,5.3439855,82.8,8.738243621,0,0.54446461,0,0.54446461,0,0.54446461,0,0.54446461,1.4,2.111558238,7.5,10.54377524,221374.9154,862009901.1
228,01063060200,570825023,17802695,Census Tract 602,Alabama,Greene County,2474,428,380,139,2051,402,38,64,0,12,0,12,0,12,0,12,5,9,15.4,4.950347612,82.9,7.637826376,1.5,2.573220344,0,0.485044462,0,0.485044462,0,0.485044462,0,0.485044462,0.2,0.362099268,360970.7434,815948308
229,01065040000,344316104,2840335,Census Tract 400,Alabama,Hale County,3576,462,1849,220,1476,438,0,12,28,37,0,12,0,12,223,167,0,12,51.7,9.081440797,41.3,11.02658236,0,0.33557047,0.8,1.029718633,0,0.33557047,0,0.33557047,6.2,4.600002268,0,0.33557047,137128.7774,491782442
230,01065040100,248623819,7069083,Census Tract 401,Alabama,Hale County,1438,301,926,250,512,191,0,12,0,12,0,12,0,12,0,12,0,12,64.4,10.98007405,35.6,10.99438208,0,0.83449235,0,0.83449235,0,0.83449235,0,0.83449235,0,0.83449235,0,0.83449235,193448.2594,356080088.4
231,01065040200,287711687,1997945,Census Tract 402,Alabama,Hale County,940,252,577,216,363,108,0,12,0,12,0,12,0,12,0,12,0,12,61.4,16.0382768,38.6,4.982780989,0,1.276595745,0,1.276595745,0,1.276595745,0,1.276595745,0,1.276595745,0,1.276595745,109933.7319,411032359.8
232,01065040300,266016492,8487585,Census Tract 403,Alabama,Hale County,2281,403,597,270,1661,399,0,12,0,12,0,12,0,12,19,30,4,6,26.2,10.89633274,72.8,11.85168335,0,0.52608505,0,0.52608505,0,0.52608505,0,0.52608505,0.8,1.306953083,0.2,0.26121153,160119.9605,381784126.1
233,01065040500,293050368,5248887,Census Tract 405,Alabama,Hale County,1666,365,580,150,1086,326,0,12,0,12,0,12,0,12,0,12,0,12,34.8,4.784257952,65.2,13.37683357,0,0.720288115,0,0.720288115,0,0.720288115,0,0.720288115,0,0.720288115,0,0.720288115,170364.439,416806645.2
234,01067030100,357850829,465243,Census Tract 301,Alabama,Henry County,1607,285,633,128,856,253,16,13,0,12,0,12,0,12,0,12,102,104,39.4,3.826499937,53.3,12.59439196,1,0.789454421,0,0.746733043,0,0.746733043,0,0.746733043,0,0.746733043,6.3,6.373035289,128236.8873,495497386.3
235,01067030200,89697695,139084,Census Tract 302,Alabama,Henry County,2793,124,1427,201,1163,218,18,32,0,12,36,55,0,12,2,4,147,115,51.1,6.829733063,41.6,7.583138609,0.6,1.145364122,0,0.429645542,1.3,1.968377098,0,0.429645542,0.1,0.143179891,5.3,4.110800737,55428.28814,124125774
236,01067030300,338037396,15769146,Census Tract 303,Alabama,Henry County,2937,402,1937,264,836,284,0,12,0,12,0,12,0,12,48,42,116,90,66,12.73916151,28.5,8.850112895,0,0.408580184,0,0.408580184,0,0.408580184,0,0.408580184,1.6,1.412426093,3.9,3.016289255,175898.2445,467765673.7
237,01067030400,196413438,100480,Census Tract 304,Alabama,Henry County,1746,251,1314,222,404,117,0,12,0,12,0,12,0,12,22,36,6,10,75.3,6.679692689,23.1,5.817153879,0,0.687285223,0,0.687285223,0,0.687285223,0,0.687285223,1.3,2.053883657,0.3,0.570603181,78808.07111,270804065.4
238,01067030500,160668047,25295,Census Tract 305,Alabama,Henry County,6383,423,5082,450,1185,351,0,17,73,42,0,17,0,17,37,47,6,185,79.6,4.675826976,18.6,5.359587225,0,0.266332446,1.1,0.653618349,0,0.266332446,0,0.266332446,0.6,0.735328164,0.1,2.898316978,65587.62918,221032964.4
239,01067030600,312292237,454561,Census Tract 306,Alabama,Henry County,1657,258,1466,215,90,74,0,12,0,12,0,12,0,12,25,26,76,97,88.5,18.92413293,5.4,4.38509651,0,0.724200362,0,0.724200362,0,0.724200362,0,0.724200362,1.5,1.551415873,4.6,5.810228685,104516.4876,430688598.9
240,01069040100,137911854,47148,Census Tract 401,Alabama,Houston County,5782,576,5279,557,290,221,28,21,98,71,0,17,0,17,54,49,33,31,91.3,3.174349095,5,3.789408515,0.5,0.359977979,1.7,1.216284954,0,0.294015911,0,0.294015911,0.9,0.842335071,0.6,0.533123419,72835.50822,189261097.7
241,01069040301,6423754,0,Census Tract 403.01,Alabama,Houston County,3685,309,2087,237,1292,189,0,12,45,31,0,12,50,45,98,53,113,45,56.6,4.33711064,35.1,4.20262746,0,0.325644505,1.2,0.834992898,0,0.325644505,1.4,1.215855021,2.7,1.420869818,3.1,1.193788066,13412.51941,8817110.86
242,01069040302,10074919,0,Census Tract 403.02,Alabama,Houston County,4038,402,1780,264,1801,267,0,12,47,29,0,12,0,12,139,63,271,151,44.1,4.846164604,44.6,4.8995088,0,0.29717682,1.2,0.708767625,0,0.29717682,0,0.29717682,3.4,1.522076291,6.7,3.679303182,16740.77627,13835071.62
243,01069040400,4123214,0,Census Tract 404,Alabama,Houston County,2450,228,1956,182,339,98,8,11,1,3,0,12,17,21,108,64,21,22,79.8,10.50638755,13.8,3.787073115,0.3,0.44795009,0,0.122390051,0,0.489795918,0.7,0.85470708,4.4,2.579832459,0.9,0.894409279,10285.44221,5657374.21
244,01069040500,4335935,0,Census Tract 405,Alabama,Houston County,3612,241,2468,158,909,181,0,12,45,35,0,12,0,12,69,38,121,54,68.3,6.318130645,25.2,4.721374004,0,0.332225914,1.2,0.965420185,0,0.332225914,0,0.332225914,1.9,1.04429915,3.3,1.47821367,9908.304514,5947278.373
245,01069040600,2632241,0,Census Tract 406,Alabama,Houston County,1821,253,167,60,1620,245,1,2,5,8,0,12,0,12,18,14,10,11,9.2,3.038566596,89,5.314737545,0.1,0.10956444,0.3,0.437659651,0,0.658978583,0,0.658978583,1,0.756443042,0.5,0.599226089,10183.62441,3611061.373
246,01069040700,2321348,0,Census Tract 407,Alabama,Houston County,2821,311,1150,173,1303,261,57,18,24,20,0,12,0,12,81,52,206,117,40.8,4.172613057,46.2,7.724669959,2,0.597925761,0.9,0.702737034,0,0.425381071,0,0.425381071,2.9,1.815934654,7.3,4.068583081,7738.741533,3183222.743
247,01069040900,26140413,169172,Census Tract 409,Alabama,Houston County,5149,444,3284,291,1520,349,0,17,83,29,0,17,24,38,80,36,158,67,63.8,1.30134641,29.5,6.281854037,0,0.330161196,1.6,0.545794282,0,0.330161196,0.5,0.736912092,1.6,0.686208391,3.1,1.274036149,25769.87267,36055538.36
248,01069041000,5382695,0,Census Tract 410,Alabama,Houston County,5240,400,1488,290,3545,381,3,5,47,20,0,17,0,17,124,57,33,24,28.4,5.092160049,67.7,5.118306951,0.1,0.09531971,0.9,0.375487849,0,0.324427481,0,0.324427481,2.4,1.07268232,0.6,0.455485306,11028.84998,7381228.573
249,01069041100,8032065,53254,Census Tract 411,Alabama,Houston County,3482,303,1949,194,1143,192,10,9,30,26,0,12,0,12,53,25,297,115,56,2.705070327,32.8,4.716514705,0.3,0.25726114,0.9,0.742923865,0,0.344629523,0,0.344629523,1.5,0.705654964,8.5,3.218215584,16692.73023,11083220.17
250,01069041200,2214171,0,Census Tract 412,Alabama,Houston County,2014,227,612,122,1350,188,0,12,0,12,0,12,0,12,9,8,43,70,30.4,4.996396168,67,5.482350551,0,0.595829196,0,0.595829196,0,0.595829196,0,0.595829196,0.4,0.394013234,2.1,3.467329587,8839.607117,3036711.999
251,01069041400,15037193,22260,Census Tract 414,Alabama,Houston County,3515,374,809,194,2477,300,8,12,18,14,0,12,0,12,87,41,116,54,23,4.946164061,70.5,4.077165617,0.2,0.340534056,0.5,0.394548472,0,0.341394026,0,0.341394026,2.5,1.136310945,3.3,1.495605752,24432.33412,20660867.12
252,01069041500,44228332,0,Census Tract 415,Alabama,Houston County,3919,553,794,77,3090,546,2,6,0,12,0,12,0,12,15,12,18,16,20.3,3.468941006,78.8,8.385681273,0.1,0.15293083,0,0.306200561,0,0.306200561,0,0.306200561,0.4,0.30139976,0.5,0.403090372,37141.86439,60737434.72
253,01069041600,142929525,194992,Census Tract 416,Alabama,Houston County,5483,399,3446,382,1586,239,57,34,33,19,0,17,0,17,188,109,173,111,62.8,5.255639197,28.9,3.816998835,1,0.615466611,0.6,0.343746678,0,0.310049243,0,0.310049243,3.4,1.972242131,3.2,2.011376453,73020.63819,196519405.4
254,01069041700,112833272,338426,Census Tract 417,Alabama,Houston County,1266,385,1074,399,161,104,0,12,0,12,0,12,11,18,13,14,7,10,84.8,18.10312294,12.7,7.247549206,0,0.947867299,0,0.947867299,0,0.947867299,0.9,1.397032281,1,1.060838412,0.6,0.771784675,58058.35685,155291152.7
255,01069041800,306316455,604390,Census Tract 418,Alabama,Houston County,1870,230,1375,184,445,123,0,12,0,12,0,12,0,12,32,26,18,15,73.5,3.876626001,23.8,5.890451468,0,0.64171123,0,0.64171123,0,0.64171123,0,0.64171123,1.7,1.374351579,1,0.793354087,96547.30132,419725922.9
256,01069042000,204155973,948906,Census Tract 420,Alabama,Houston County,5463,418,4584,361,492,137,15,16,6,7,0,17,0,17,136,69,230,164,83.9,1.563972654,9,2.411245922,0.3,0.292124884,0.1,0.127858857,0,0.311184331,0,0.311184331,2.5,1.248596257,4.2,2.98467964,71076.54604,280448454.1
257,01069042100,191330486,909732,Census Tract 421,Alabama,Houston County,7990,765,6967,773,585,214,7,12,11,14,0,17,12,15,209,89,199,110,87.2,4.888621653,7.3,2.584982341,0.1,0.149953308,0.1,0.174722516,0,0.212765957,0.2,0.187183147,2.6,1.085372279,2.5,1.355911446,98704.61187,262875995.3
258,01073000100,7549577,82926,Census Tract 1,Alabama,Jefferson County,2755,708,377,144,2172,655,0,12,0,12,0,12,0,12,11,22,195,163,13.7,3.866925455,78.8,12.44030342,0,0.435571688,0,0.435571688,0,0.435571688,0,0.435571688,0.4,0.791928396,7.1,5.629965918,17011.84145,11025264.22
259,01073000300,2078506,0,Census Tract 3,Alabama,Jefferson County,1576,332,228,185,1224,209,0,12,0,12,0,12,0,12,0,12,124,122,14.5,11.33605994,77.7,21.06048913,0,0.76142132,0,0.76142132,0,0.76142132,0,0.76142132,0,0.76142132,7.9,7.561591147,10519.66503,2999901.343
260,01073000400,7998768,0,Census Tract 4,Alabama,Jefferson County,3302,688,391,162,2622,623,0,12,36,39,0,12,0,12,59,60,194,293,11.8,4.240604352,79.4,9.068611588,0,0.363416111,1.1,1.159051315,0,0.363416111,0,0.363416111,1.8,1.778532753,5.9,8.788563771,17034.63011,11550042.35
261,01073000500,4680657,0,Census Tract 5,Alabama,Jefferson County,3073,487,40,42,3016,486,0,12,0,12,0,12,0,12,0,12,17,28,1.3,1.351085701,98.1,2.863601373,0,0.390497885,0,0.390497885,0,0.390497885,0,0.390497885,0,0.390497885,0.6,0.906934181,11410.88338,6755869.769
262,01073000700,3520565,0,Census Tract 7,Alabama,Jefferson County,2173,476,19,32,2127,475,0,12,0,12,0,12,5,9,22,33,0,12,0.9,1.460109852,97.9,4.252791395,0,0.552231937,0,0.552231937,0,0.552231937,0.2,0.411095595,1,1.50235723,0,0.552231937,9619.932861,5082369.712
